Game Started,MP,FGA,2PA,3PA,FTA,PER,AST%,TOV%,USG%,OWS,ORtg,OBPM,DWS,MP_(POI_Per_Game),FGA_(POI_Per_Game),2PA_(POI_Per_Game),3PA_(POI_Per_Game),FTA_(POI_Per_Game),ORB,DRB,TRB,AST,TOV,PTS,PTS_3,PTS_5,PTS_7,PTS_10,Player,Date2,Opp
1,34.0,13,8,5,4,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,2.9,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,15.0,16.2,14.428571428571429,14.1,Aaron Gordon,2019-01-07,SAC
1,31.0,10,7,3,4,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,2.9,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,8.666666666666666,13.0,14.714285714285714,13.4,Aaron Gordon,2018-12-19,SAS
1,28.0,7,5,2,0,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,4.0,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,19.0,14.8,16.571428571428573,16.3,Aaron Gordon,2019-04-01,TOR
1,36.0,17,11,6,3,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,5.7,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,12.333333333333334,13.8,14.285714285714286,13.9,Aaron Gordon,2019-01-09,UTA
1,34.0,13,7,6,2,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,1.2,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,18.333333333333332,16.2,18.428571428571427,16.3,Aaron Gordon,2019-03-13,WAS
0,22.0,11,6,5,3,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.4,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,8.0,9.0,8.857142857142858,7.2,Aaron Holiday,2019-04-10,ATL
0,24.0,8,4,4,2,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,2.3,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,9.333333333333334,9.0,7.571428571428571,6.0,Aaron Holiday,2019-04-05,BOS
0,23.0,7,3,4,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.4,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,9.333333333333334,10.4,8.285714285714286,6.8,Aaron Holiday,2019-04-07,BRK
0,12.0,6,3,3,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.6,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,4.666666666666667,7.4,9.571428571428571,8.1,Aaron Holiday,2018-12-04,CHI
0,2.0,2,0,2,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.5,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,1.6666666666666667,2.4,2.4285714285714284,3.8,Aaron Holiday,2019-01-20,CHO
0,14.0,8,5,3,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.0,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,9.0,5.8,7.285714285714286,6.1,Aaron Holiday,2019-02-09,CLE
0,3.0,3,1,2,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.9,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,7.666666666666667,6.6,6.142857142857143,6.5,Aaron Holiday,2019-02-27,DAL
0,19.0,8,5,3,2,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.8,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,6.333333333333333,5.4,4.571428571428571,5.5,Aaron Holiday,2019-03-24,DEN
0,29.0,11,8,3,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.3,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,11.333333333333334,8.0,6.857142857142857,5.7,Aaron Holiday,2019-04-03,DET
0,17.0,4,1,3,2,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.8,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,4.0,3.2,3.2857142857142856,5.0,Aaron Holiday,2019-03-21,GSW
0,14.0,3,1,2,2,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,2.0,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,3.3333333333333335,3.0,3.0,4.8,Aaron Holiday,2019-03-19,LAC
0,23.0,10,6,4,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.8,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,3.3333333333333335,6.4,6.0,4.7,Aaron Holiday,2019-02-05,LAL
0,16.0,11,7,4,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.1,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,1.0,2.2,2.142857142857143,3.4,Aaron Holiday,2019-01-26,MEM
0,14.0,5,4,1,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,2.3,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,7.333333333333333,6.4,4.571428571428571,4.4,Aaron Holiday,2019-02-02,MIA
0,2.0,2,1,1,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.9,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,3.0,5.6,5.428571428571429,6.0,Aaron Holiday,2019-03-07,MIL
0,14.0,4,4,0,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.9,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,3.0,6.8,5.142857142857143,6.5,Aaron Holiday,2019-02-28,MIN
0,13.0,5,2,3,4,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.7,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,4.0,6.2,4.857142857142857,4.2,Aaron Holiday,2019-02-04,NOP
0,7.0,2,2,0,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.7,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,3.3333333333333335,3.4,5.142857142857143,4.6,Aaron Holiday,2019-03-12,NYK
0,14.0,4,3,1,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.5,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,9.666666666666666,6.4,5.285714285714286,4.4,Aaron Holiday,2019-01-31,ORL
0,8.0,4,2,2,1,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,1.7,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,2.3333333333333335,2.6,5.428571428571429,5.0,Aaron Holiday,2019-03-10,PHI
0,5.0,2,1,1,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.2,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,2.3333333333333335,4.8,4.714285714285714,4.5,Aaron Holiday,2019-01-15,PHO
0,16.0,5,4,1,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.9,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,5.666666666666667,5.2,7.0,9.1,Aaron Holiday,2018-12-08,SAC
0,2.0,0,0,0,0,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,2.4,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,6.333333333333333,5.2,5.428571428571429,5.2,Aaron Holiday,2019-01-06,TOR
0,21.0,8,0,8,4,12.0,19.3,12.3,21.9,0.1,102.0,-1.5,0.4,12.9,5.2,2.7,2.5,1.0,0.1,1.2,1.3,1.7,0.8,5.9,7.333333333333333,4.4,4.285714285714286,3.9,Aaron Holiday,2019-01-30,WAS
0,14.0,6,3,3,0,8.8,3.8,10.1,15.1,0.0,102.0,-4.2,1.0,11.4,3.5,1.9,1.6,0.6,0.2,1.7,1.9,0.3,0.4,4.0,8.0,6.6,7.571428571428571,7.4,Abdel Nader,2019-01-15,ATL
0,14.0,3,2,1,2,8.8,3.8,10.1,15.1,0.0,102.0,-4.2,2.5,11.4,3.5,1.9,1.6,0.6,0.2,1.7,1.9,0.3,0.4,4.0,4.333333333333333,6.2,5.428571428571429,4.5,Abdel Nader,2019-03-13,BRK
0,4.0,1,1,0,2,8.8,3.8,10.1,15.1,0.0,102.0,-4.2,1.1,11.4,3.5,1.9,1.6,0.6,0.2,1.7,1.9,0.3,0.4,4.0,0.0,1.2,1.4285714285714286,1.2,Abdel Nader,2018-12-17,CHI
0,11.0,4,2,2,0,5.1,7.1,17.0,17.1,-0.9,83.0,-5.9,1.3,10.9,3.1,1.8,1.4,0.8,0.3,1.2,1.5,0.5,0.7,3.0,2.3333333333333335,2.4,3.4285714285714284,3.7,Abdel Nader,2018-02-28,CHO
0,7.0,2,2,0,0,8.8,3.8,10.1,15.1,0.0,102.0,-4.2,0.3,11.4,3.5,1.9,1.6,0.6,0.2,1.7,1.9,0.3,0.4,4.0,2.0,1.2,0.8571428571428571,1.7,Abdel Nader,2018-11-28,CLE
0,7.0,3,1,2,0,8.8,3.8,10.1,15.1,0.0,102.0,-4.2,2.0,11.4,3.5,1.9,1.6,0.6,0.2,1.7,1.9,0.3,0.4,4.0,3.3333333333333335,3.0,3.4285714285714284,3.9,Abdel Nader,2019-03-31,DAL
0,12.0,4,1,3,0,8.8,3.8,10.1,15.1,0.0,102.0,-4.2,2.9,11.4,3.5,1.9,1.6,0.6,0.2,1.7,1.9,0.3,0.4,4.0,1.6666666666666667,3.2,4.142857142857143,4.0,Abdel Nader,2019-03-29,DEN
