Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,MEM,NBA,82,22,60,0.268,240.3,36.7,82.8,27.5,56.5,9.2,26.2,16.6,21.1,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3
2018-19,CHI,NBA,82,22,60,0.268,242.7,39.8,87.9,30.7,62,9.1,25.9,16.2,20.7,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9
2015-16,BRK,NBA,82,21,61,0.256,240.9,38.2,84.4,31.8,66,6.5,18.4,15.7,20.7,10.5,31.9,42.4,22.3,7.6,4,14.8,18,98.6
2014-15,LAL,NBA,82,21,61,0.256,243,37.2,85.6,30.8,66.8,6.5,18.9,17.5,23.6,11.6,32.3,43.9,20.9,7,4.5,13.2,21.2,98.5
2017-18,PHO,NBA,82,21,61,0.256,240.3,38.5,87.1,29.1,59.2,9.3,27.9,17.7,23.9,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22,103.9
2016-17,BRK,NBA,82,20,62,0.244,240.9,37.8,85.2,27.1,53.6,10.7,31.6,19.4,24.6,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21,105.8
2018-19,CLE,NBA,82,19,63,0.232,240.9,38.9,87.6,28.6,58.5,10.3,29.1,16.4,20.7,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20,104.5
2018-19,PHO,NBA,82,19,63,0.232,242.4,40.1,87.4,30.5,58.1,9.6,29.3,17.6,22.7,9.1,31.3,40.4,23.9,9,5.1,15.6,23.6,107.5
2014-15,PHI,NBA,82,18,64,0.22,241.5,33.7,82.6,25.3,56.3,8.4,26.3,16.1,23.8,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92
2014-15,NYK,NBA,82,17,65,0.207,242.1,35.1,82,28.3,62.3,6.8,19.7,14.8,19.2,10.6,29.8,40.4,21.3,7,4.7,14.7,21.6,91.9
2018-19,NYK,NBA,82,17,65,0.207,241.2,38.2,88.3,28.2,58.8,10,29.5,18.1,23.9,10.5,34.3,44.7,20.1,6.8,5.1,14,20.9,104.6
2015-16,LAL,NBA,82,17,65,0.207,240.6,35.1,84.8,27.3,60.2,7.8,24.6,19.3,24.7,10.7,32.3,43,18,7.2,4.1,13.7,20.3,97.3
